id,anio,seccion,concepto,valor_num,valor_raw,unidad,es_ratio
65fd183b-cd5b-4c93-9a66-4c19f4c88c4f,2021,Balance general,Activos biológicos CP,0.0,0,millones COP,false
1b41d91a-5433-4d24-8cf9-bbdc213a63a8,2022,Balance general,Activos biológicos CP,0.0,0,millones COP,false
02a696ce-0757-4378-bc4d-27c9354eb504,2023,Balance general,Activos biológicos CP,0.0,0,millones COP,false
28f0c20d-fd88-44cd-9e17-e0f24aa5202b,2024,Balance general,Activos biológicos CP,0.0,0,millones COP,false
834f862d-2a19-45f0-878d-723e623bf500,2019,Balance general,Impuestos a favor,2881.0,2.881,millones COP,false
9ab7363d-04af-4f6f-8cb0-b1bc67eb764f,2020,Balance general,Impuestos a favor,1338.0,1.338,millones COP,false
1a0374c9-422d-4c30-9a4a-561eea459348,2021,Balance general,Impuestos a favor,3339.0,3.339,millones COP,false
41fa8a84-d84d-4bd3-82f4-18ec07152671,2022,Balance general,Impuestos a favor,5861.0,5.861,millones COP,false
64d2a0b3-0bb6-4520-ac67-f1ffe6b90127,2023,Balance general,Impuestos a favor,7364.0,7.364,millones COP,false
4352e9c0-4f2b-4906-82ee-347482916865,2024,Balance general,Impuestos a favor,11199.0,11.199,millones COP,false
dbb1b941-ecee-47ae-9681-e3436e61964d,2019,Balance general,Otros activos corrientes,1285.0,1.285,millones COP,false
49f9e780-cbbf-4943-9a35-22bc1c3f7de1,2020,Balance general,Otros activos corrientes,19921.0,19.921,millones COP,false
62a57c52-64d4-48a5-b478-0d11576cfc2a,2021,Balance general,Otros activos corrientes,24880.0,24.880,millones COP,false
90dc4349-a644-478d-ade2-5925fd04df4b,2022,Balance general,Otros activos corrientes,32930.0,32.930,millones COP,false
583ae472-cdf8-4a48-ad04-be56a6c1098a,2023,Balance general,Otros activos corrientes,2445.0,2.445,millones COP,false
28c6085d-068e-47b6-a6a3-e686392c6928,2024,Balance general,Otros activos corrientes,10340.0,10.340,millones COP,false
2e193d38-8f32-4006-821b-b0161b977336,2019,Balance general,Total activos corrientes,113671.0,113.671,millones COP,false
ca0f0e82-a9c3-41ae-89a5-c006d9fa36cb,2020,Balance general,Total activos corrientes,133533.0,133.533,millones COP,false
f673b972-c057-4826-a90e-fdc5a7fa2695,2021,Balance general,Total activos corrientes,124978.0,124.978,millones COP,false
4d5f96da-e71b-4d0d-ba0c-e66638192f0b,2022,Balance general,Total activos corrientes,188683.0,188.683,millones COP,false
e917b3d9-a5e7-483b-ab26-96617f748dfb,2023,Balance general,Total activos corrientes,160294.0,160.294,millones COP,false
7910ad26-c32c-4ebd-9a75-8145c090f1ec,2024,Balance general,Total activos corrientes,208971.0,208.971,millones COP,false
37c2a1fe-68dd-4d04-8202-f3a13dd06540,2019,Balance general,PPyE,425599.0,425.599,millones COP,false
05be4856-e5c0-4979-bd93-4c297ffc6cf6,2020,Balance general,PPyE,472745.0,472.745,millones COP,false
c80844b8-2de9-4046-9bed-dbcb7d599a1a,2021,Balance general,PPyE,464831.0,464.831,millones COP,false
183c3bbd-e816-4dee-aade-58cb9d023a7b,2022,Balance general,PPyE,467270.0,467.270,millones COP,false
142a8dac-6e2f-46d2-bf0e-f01fb0782adc,2023,Balance general,PPyE,487686.0,487.686,millones COP,false
bbfa56ea-6ac9-43b0-8a25-4cc13fcd9de1,2024,Balance general,PPyE,491052.0,491.052,millones COP,false
a6465417-9a85-40ba-8c69-2ff86c420cc4,2019,Balance general,Intangibles,1140.0,1.140,millones COP,false
a5557a1f-2dff-44f7-bcd4-053ab49937a6,2020,Balance general,Intangibles,1617.0,1.617,millones COP,false
d0eb9ab7-d7b0-4f90-b4f4-541a34582cb9,2021,Balance general,Intangibles,1136.0,1.136,millones COP,false
34014746-b4ed-4008-bddc-7f0251e9d3b6,2022,Balance general,Intangibles,2576.0,2.576,millones COP,false
5bdc3b77-9782-4e32-8c76-873d969eee60,2023,Balance general,Intangibles,2649.0,2.649,millones COP,false
510b993a-0fcc-400e-92f3-9f491b957635,2024,Balance general,Intangibles,1846.0,1.846,millones COP,false
37858ae4-9eee-4e44-acb0-b65e6c70b57c,2019,Balance general,Activos biológicos LP,0.0,0,millones COP,false
d9fdb21b-3bef-49b3-baf1-7272e09f3597,2020,Balance general,Activos biológicos LP,0.0,0,millones COP,false
